,lemma,pos,synset_cnt,p_cnt,ptr_symbol,sense_cnt,tagsense_cnt,synset_offset
9698,spread-eagle,v,5,2,"['@', ';']",5,1,"['00027570', '02690577', '01937067', '01543626', '01104248']"
9699,spread_out,v,7,2,"['@', '~']",7,2,"['02060141', '01360715', '02082690', '02077148', '02045415', '02028994', '01579813']"
9700,spread_over,v,1,3,"['@', '~', '$']",1,1,['01207951']
9701,spreadeagle,v,1,1,@,1,0,01104248
9702,spree,v,1,2,"['@', '+']",1,0,['01182559']
9703,spring,v,5,3,"['@', '~', '+']",5,4,"['01963942', '02623906', '01892104', '00095271', '00935827']"
9704,spring-clean,v,1,2,"['@', '+']",1,0,['01533851']
9705,spring_to_mind,v,1,1,@,1,0,00609352
9706,spring_up,v,1,3,"['@', '~', '$']",1,1,['02624263']
9707,sprinkle,v,4,3,"['@', '~', '+']",4,2,"['01376245', '01374767', '02757828', '00228655']"
9708,sprint,v,1,2,"['@', '+']",1,1,['01928579']
9709,spritz,v,2,2,"['@', '+']",2,0,"['01313780', '01313592']"
9710,sprout,v,2,3,"['@', '$', '+']",2,1,"['00357332', '00095377']"
9711,spruce,v,2,1,['@'],2,0,"['00293977', '00043278']"
9712,spruce_up,v,2,1,['@'],2,0,"['00293977', '00043278']"
9713,spud,v,2,2,"['@', '$']",2,0,"['01443490', '00357332']"
9714,spue,v,2,1,['@'],2,0,"['00101956', '00076400']"
9715,spume,v,1,2,"['@', '+']",1,0,['00511855']
9716,spur,v,5,3,"['@', '*', '+']",5,4,"['02554647', '01818835', '01241490', '01241253', '01241379']"
9717,spurn,v,1,4,"['@', '~', '$', '+']",1,1,['00796976']
9718,spurt,v,2,3,"['@', '~', '+']",2,0,"['02068413', '01884126']"
9719,sputter,v,5,2,"['@', '+']",5,2,"['02186360', '00556001', '01921772', '00986897', '00102303']"
9720,spy,v,4,4,"['@', '~', '*', '+']",4,2,"['02154312', '00785690', '02163746', '00785470']"
9721,squabble,v,1,2,"['@', '+']",1,0,['00774056']
9722,squall,v,3,4,"['@', '~', '$', '+']",3,2,"['01047263', '00913065', '02770019']"
9723,squander,v,2,4,"['@', '~', '$', '+']",2,0,"['02268351', '01158181']"
9724,square,v,8,4,"['@', '~', '+', ';']",8,4,"['00145448', '00640136', '02659656', '01987493', '02659541', '02253341', '01124964', '01124828']"
9725,square_away,v,1,2,"['@', '~']",1,1,['00275843']
